"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
71	"Keller T"	1	"Applied Physics A"	"2002"	"74 (S1)"	"s975"	1	"NG1SANS"	"NOT CHRNS"	"Characterisation of thermally sprayed metallic NiCrAlY deposits by multiple small-angle scattering"	"Wanger W"	"Allen A"	"Ilavsky J, Margadant N, Siegmann S, Kostorz G"	"Materials science"	"Ceramics"	"The technique of multiple small-angle neutron scattering (MSANS) was applied to thermally sprayed metallic deposits. The samples are technologically relevant Ni-based NiCrAlY coatings manufactured by different spray techniques (atmospheric and water-stabilised plasma spraying, flame spraying). MSANS measurements were made in directions parallel and perpendicular to the surface plane. Based on empirical considerations and on the analysis of SEM micrographs of coating cross-sections, the complex microstructures were modelled in terms of three distinct void systems. Employing a recent MSANS formalism, the experimental beam-broadening as a function of incident wavelength was used to derive the model parameters under the constraints of MSANS anisotropy, total measured porosity, and total internal surface area. The surface area was obtained from small-angle neutron scattering analysis in the Porod regime."
72	"King HE"	0	"Dynamics in Small Confining Systems V. Symposium"	"2001"	"651"	"T8.4.1"	0	"NG7SANS"	"NOT CHRNS"	"Anomalous surface conformation for polymeric gas-hydrate-crystal inhibitors"	"Hutter JL"	"Lin MY"	"et al"	"Polymers"	"Crystallinity"	"Journal not available online"
73	"King HE"	0	"Journal of Chemical Physics"	"2000"	"112 (5)"	"2523"	1	"NG3SANS"	"CHRNS"	"Polymer conformations of gas-hydrate kinetic inhibitors: A small-angle neutron scattering study"	"Hutter JL"	"Lin MY"	"Sun T"	"Polymers"	"Polymer conformations"	"We have used small-angle neutron scattering to characterize the polymer conformations of four nonionic water soluble polymers: poly(ethylene oxide), poly(N-vinyl-2-pyrollidone), poly(N-vinyl-2-caprolactam), and an N-methyl, N-vinylacetamide/N-vinyl-2-caprolactam copolymer. The last three of these are able to kinetically suppress hydrate crystallization, and their inhibitor activity ranges from moderate to very effective. This attribute is of significant commercial importance to the oil and gas industry, but the mechanism of the activity is unknown. The dilute-solution polymer conformation in a hydrate-forming tetrahydrofuran/water fluid shows little difference among the four polymers: the majority of the scattering is that expected for a polymer in a good solvent. Each solution also exhibits some additional low-q scattering which we attribute to aggregates. In the presence of a hydrate-crystal/liquid slurry, the three inhibitor polymers significantly change their conformation. Utilizing results from our previous contrast variation study, we show that this arises from polymer adsorbed to the hydrate-crystal surface. Furthermore, we find a strong correlation between the scattering intensity at low q values and the effectiveness of the inhibitor polymer. We suggest this is an indication that as surface adsorption increases, the inhibitor's blocking of growth sites increases. Also measured for one of the kinetic-inhibitor polymers was the dilute-solution polymer conformation in a hydrate-forming propane/water fluid (hydrate crystal free). This system shows additional low-q scattering, possibly indicating a polymer–propane interaction prior to crystal formation. This may affect hydrate nucleation behavior and offer a second mechanism for kinetic hydrate inhibition."
74	"King S"	0	"Macromolecular Symposia"	"2002"	"190"	"33"	1	"NG7SANS"	"NOT CHRNS"	"SANS from adsorbed polymer layers"	"Griffiths P"	"Hone J"	"Cosgrove T"	"Polymers"	"Adsorption"	"Journal not available online"
76	"Krishnamoorti R"	0	"Journal of Polymer Science B"	"2002"	"40 (16)"	"1768"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Melt-state polymer chain dimensions as a function of temperature"	"Graessley WW"	"Zirkel A"	"Richter D, Hadjichristidis N, Fetters LJ, Lohse DJ"	"Polymers"	"Coil dimensions"	"The unperturbed chain dimensions (R2o/M) of cis/trans-1,4-polyisoprene, a near-atactic poly(methyl methacrylate), and atactic polyolefins were measured as a function of temperature in the melt state via small-angle neutron scattering (SANS). The polyolefinic materials were derived from polydienes or polystyrene via hydrogenation or deuteration and represent structures not encountered commercially. The parent polymers were prepared via lithium-based anionic polymerizations in cyclohexane with, in some cases, a polymer microstructure modifier present. The polyolefins retained the near-monodisperse molecular weight distributions exhibited by the precursor materials. The melt SANS-based chain dimension data allowed the evaluation of the temperature coefficients [dln R2o/dT()] for these polymers. The evaluated polymers obeyed the packing length (p)-based expressions of the plateau modulus, G = kT/np3 (MPa), and the entanglement molecular weight, Me = Nanp3 (g mol-1), where nt denotes the number (21) of entanglement strands in a cube with the dimensions of the reptation tube diameter (dt) and is the chain density. The product np3 is the displaced volume (Ve) of an entanglement that is also expressible as pd or kT/G. © 2002 Wiley Periodicals, Inc. J Polym Sci Part B: Polym Phys 40: 1768-1776, 2002"
77	"Krishnamoorti R"	0	"Journal of Chemical Physics"	"2001"	"115 (15)"	"7175"	1	"NG3SANS"	"CHRNS"	"Effect of silicate layer anisotropy on cylindrical and spherical microdomain ordering in block copolymer nanocomposites"	"Silva AS"	"Mitchell CA"		"Polymers"	"Copolymer morphology"	"The influence of the addition of small quantities of anisotropic layered silicates on the ordering of block copolymers is studied by a combination of linear viscoelasticity and small angle neutron scattering. Specifically, we examine the influence of varying the lateral dimensions of thermodynamically roughly equivalent layered silicates on the development of cylindrical and spherical microdomain order in a blend of a matched diblock and triblock copolymer. The kinetics for the development of spheres arranged on a bcc lattice from an initial disordered state are dramatically accelerated by the two larger layered silicates with equivalent diameters of ~1 and 10 µm, while the incorporation of an organically modified laponite, with an equivalent diameter of ~30 nm, has no influence on these kinetics. On the other hand, the addition of layered silicates, irrespective of layer dimensions, has no influence on the development of cylindrical ordered microdomains and the epitaxial transformation of shear-aligned cylindrical microdomains to spherical microdomains."
78	"Krishnamurthy VV"	1	"Physical Review E"	"2003"	"67 (5)"	"051406"	1	"NG7SANS"	"NOT CHRNS"	"Shear- and magnetic-field-induced ordering in magnetic nanoparticle dispersion from small-angle neutron scattering"	"Bhandar AS"	"Piao M"	"Zoto I, Lane AM, Nikles DE, Wiest JM, Mankey GJ, Porcar L, Glinka CJ"	"Materials science"	"Ferromagnetic nanoparticles"	"Small-angle neutron scattering experiments have been performed to investigate orientational ordering of a dispersion of rod-shaped ferromagnetic nanoparticles under the influence of shear flow and static magnetic field. In this experiment, the flow and flow gradient directions are perpendicular to the direction of the applied magnetic field. The scattering intensity is isotropic in zero-shear-rate or zero-applied-field conditions, indicating that the particles are randomly oriented. Anisotropic scattering is observed both in a shear flow and in a static magnetic field, showing that both flow and field induce orientational order in the dispersion. The anisotropy increases with the increase of field and with the increase of shear rate. Three states of order have been observed with the application of both shear flow and magnetic field. At low shear rates, the particles are aligned in the field direction. When increasing shear rate is applied, the particles revert to random orientations at a characteristic shear rate that depends on the strength of the applied magnetic field. Above the characteristic shear rate, the particles align along the flow direction. The experimental results agree qualitatively with the predictions of a mean field model."
79	"Krueger S"	1	"Biochemistry"	"2003"	"42 (7)"	"1958"	1	"NG3SANS"	"CHRNS"	"Entropic nature of the interaction between promoter bound CRP mutants and RNA polymerase"	"Gregurick S"	"Shi Y"	"Wang S, Wladkowski BD, Schwarz FP"	"Biology"	"DNA-CRP/mutant complexes"	"The interaction between CRP, T127L, S128A, and CRP* and RNA polymerase bound to a 104 bp synthetic promoter were determined by ITC at 298 K and ranges from a Gb = 1.4 ± 0.8 kJ mol-1 (cAMP-ligated S128A) to 4.5 ± 0.3 kJ mol-1 (cAMP-ligated double mutant CRP*) with endothermicities that range from 4 ± 3 kJ mol-1 (cAMP-ligated CRP) to 47 ± 8 kJ mol-1 (cGMP-ligated T127L). The interaction is, thus, entropically driven, exhibits enthalpy-entropy compensation, and increases the binding affinity of the RNA polymerase to the promoter by factors ranging from 1.7 ± 0.1 (cAMP-ligated S128A) to 6.1 ± 0.1 (cAMP-ligated CRP*). Although the binding affinities to the promoter alone, except for cAMP-ligated S128A, are the same as to a shorter 40 bp duplex containing the same CRP consensus binding site sequence (conDNA), the binding enthalpies of CRP/mutant to the promoter are lower by factors of 2-3× than the corresponding binding enthalpies to conDNA. Small angle neutron scattering measurements on the DNA-CRP/mutant complexes in D2O/H2O solutions exhibit an increase in the Rg of the CRP/mutant component from 22 to 27-31 Å that can be attributed to a conformational change in the N-terminal domain of CRP. The Rg = 27 Å for the bound conDNA can be attributed to a slight unwinding of the DNA in solution that would also enhance the activation of transcription. The Rg = 53 ± 3 Å for the bound promoter is attributed to bending of the promoter in solution that can be responsible for the lower CRP/mutant-promoter binding endothermicities."
80	"Krueger S"	1	"Biophysical Journal"	"2003"	"84 (2s)"	"175a"	0	"NG3SANS"	"CHRNS"	"Interaction of GroEL and GroEL/GroES Chaperonins with a non-native polypeptide substrate: A small-angle neutron scattering study."	"Gregurick S"	"Zondlo J"	"Wang S, Wladkowski BD, Schwarz FP"	"Biology"	"Chaperonins"	"Article not found online"
81	"Kulkarni A"	1	"Acta Materialia"	"2003"	"51 (9)"	"2457"	1	"NG3SANS"	"CHRNS"	"Comprehensive microstructural characterization and predictive property modeling of plasma-sprayed zirconia coatings"	"Wang Z"	"Nakamura T"	"Sampath S, Goland A, Herman H, Allen J, Ilavsky J, Long G, Frahm J, Steinbrech RW"	"materials science"	"Ceramics structure"	"Quantitative microstructure characterization to better understand processing-microstructure-property correlations is of considerable interest in plasma sprayed coating research. This paper quantifies, by means of small-angle neutron scattering (SANS) data, microstructure (porosity, opening dimensions, orientation and morphologies) in plasma sprayed partially-stabilized zirconia (PSZ) coatings, primarily used as thermal barrier coatings. We report on the investigation of the influence of feedstock characteristics on microstructure and establish its influence on the resultant thermal and mechanical properties. The microstructural parameters determined by SANS studies are then assembled into a preliminary model to develop a predictive capability for estimating the properties of these coatings. Thermal conductivity and elastic modulus were predicted using finite element analysis and ultimately compared to experimental values."
83	"Lee JH"	1	"Macromolecules"	"2002"	"35 (20)"	"7748"	1	"NG3SANS"	"CHRNS"	"Thermodynamics and phase behavior of block copolymer/homopolymer blends with attractive and repulsive interactions"	"Balsara NP"	"Chakraborty AK"	"Krishnamoorti R, Hammouda B"	"Polymers"	"Copolymer micelles"	"Small-angle neutron scattering (SANS) experiments were conducted on a 25 vol % blend of a poly(ethylene-block-head-to-head propylene) copolymer (PE-PP) in polyisobutylene (PIB). PE/PIB and PE/PP chains are incompatible (the Flory-Huggins interaction parameter > 0), while PIB and PP are compatible ( < 0) at low temperatures and incompatible ( > 0) at high temperatures. These interactions lead to an order-disorder transition at 150 ± 5 C and macrophase separation at 251 ± 5 C. The nature of the concentration fluctuations in the homogeneous state (155 C < T < 246 C) was studied by comparing the experimentally determined SANS profiles with theoretical calculations based on the multicomponent random phase approximation (RPA). Order formation at low temperatures is driven by two parameters: PE/PIB and lPP (the statistical segment length of the PP block). The other temperature-dependent parameters drive the system away from the ordering transition. At high temperatures, the RPA predicts microphase separation, while experimental data (neutron and light scattering) indicate macrophase separation. This discrepancy is mainly due to the inability of the RPA to correctly account for the large length scale concentration fluctuations."
84	"Lee JH"	1	"Macromolecules"	"2003"	"26 (17)"	"6537"	1	"NG3SANS"	"CHRNS"	"Phase behavior of highly immiscible polymer blends stabilized by a balanced block copolymer surfactant"	"Ruegg ML"	"Balsara NP"	"Zhu Y, Gido SP, Krishnamoorti R, Kim M-H"	"Polymers"	"Copolymer micelles"	"The phase behavior of mixtures of polyisobutylene (PIB), polyethylene (PE), and a symmetric polyethylene-block-head-to-head polypropylene copolymer (PE-PP) was studied by transmission electron microscopy (TEM) and small-angle neutron and light scattering. The thermodynamic interactions between PE/PP and PE/PIB are repulsive (Flory-Huggins parameter > 0 and decreases with increasing temperature), while those between PP/PIB are attractive ( < 0 and increases with increasing temperature). When the PE-PP copolymer is added to a 50/50 PE/PIB mixture, the resulting phase diagram in temperature-copolymer composition space exhibits many of the characteristics of \"fish-shaped\" phase diagrams found in oil/water mixtures stabilized by balanced surfactants. This is due to the interplay between the different parameters that characterize the system. Lamellar phases, single droplet microemulsions, and bicontinuous microemulsions were observed. The length scales of these structures and the locations of the phase transition points on the phase diagram determined by TEM and scattering are in reasonable agreement. Phase transitions from a lamellar phase to a single droplet microemulsion phase, and from a bicontinuous microemulsion to a macrophase-separated structure, have been identified."
85	"Lefebvre AA"	0	"Macromolecules"	"2002"	"35 (20)"	"7758"	1	"NG3SANS"	"CHRNS"	"Determination of the phase boundary of high molecular weight polymer blends"	"Balsara NP"	"Lee JH"	"Vaidyanathan C"	"Polymers"	"Polymer blends"	"The Flory-Huggins interaction parameter, , of an off-critical poly(methylbutylene)/poly(ethylbutylene) blend was measured over a wide temperature (T) and pressure (P) range by comparing small-angle neutron scattering (SANS) profiles from single-phase systems with predictions based on the random phase approximation (RPA). We show that , which is a nonlinear function of 1/T at low pressures, becomes a linear function of 1/T at elevated pressures (above 2.5 kbar). The pressure dependence of the phase boundary (i.e., binodal temperature) of our blend was determined from a series of dissolution experiments wherein a phase-separated sample was heated under isobaric conditions until the SANS profiles were identical to calculations based on the RPA. The binodal, thus obtained, was in quantitative agreement with that computed using the Flory-Huggins theory. The agreement was obtained without any adjustable parameters. Binodals determined by the more traditional cloud point measurements are erroneous due to the presence of large nucleation barriers."
86	"Lefebvre AA"	1	"Journal of Chemical Physics"	"2002"	"116 (12)"	"4777"	1	"NG3SANS"	"CHRNS"	"Critical length and time scales during the initial stages of nucleation in polymer blends"	"Lee JH"	"Balsara NP"	"Hammouda B"	"Polymers"	"Polymer blend phase separation"	"The initial stages of nucleation during liquid–liquid phase separation in polymer mixtures were studied by time-resolved small angle neutron scattering. The time required for nucleation vanishes exponentially as the stability limit (spinodal) is approached. The critical nucleus size decreases monotonically with increasing quench depth and remains finite at the spinodal. Our data differ qualitatively from theoretical predictions."
87	"Lefebvre AA"	0	"Journal of Chemical Physics"	"2002"	"117 (19)"	"9063"	1	"NG3SANS"	"CHRNS"	"Determination of critical length scales and the limit of metastability in phase separating polymer blends"	"Lee JH"	"Balsara NP"	"Vaidyanathan C"	"Polymers"	"Polymer blends phase separation"	"Liquid–liquid phase separation in polymethylbutylene/polyethylbutylene blends near the metastability limit was studied using small angle neutron scattering (SANS). Our objective was to study the relationship between quench depth and Rc, the lower limit for the length scale of the structures formed during the early stages of the phase transition (nuclei). During the early stage of phase separation, the SANS profiles merged at a time-independent critical scattering vector, qc. We discuss different methods for estimating qc, and present arguments for the scaling relationship, Rc~1/qc. The theory of Cahn and Hilliard predicts that in metastable blends Rc increases with increasing quench depth, and diverges at the spinodal. In contrast, our experimental measurements showed Rc increases with decreasing quench depth, and the location of the point where Rc diverges lies between the binodal and the spinodal. Some aspects of our results are addressed in recent theoretical work of Wang and Wood [J. Chem. Phys. 117, 481 (2002)], wherein the effects of fluctuations on the binodal and spinodal curves in polymer blends are incorporated."
88	"Lefebvre AA"	0	"Journal of Chemical Physics"	"2002"	"117 (19)"	"9074"	1	"NG3SANS"	"CHRNS"	"Fluctuation mediated phase separation in polymer blends near the limit of metastability"	"Lee JH"	"Balsara NP"	"Vaidyanathan C"	"Polymers"	"Polymer blend phase separation"	"The evolution of the structure factor of off-critical polyolefin (polymethylbutylene/polyethylbutylene) blends quenched from the homogeneous state to states near the limit of metastability was studied by small angle neutron scattering. The Cahn–Hilliard–Cook theory was used to organize the data in terms of three time-independent parameters that depend on the scattering vector, q: S0(q), the initial structure factor, St(q), the terminal structure factor, and R(q), a kinetic parameter that indicates the time scale for the transformation from S0(q) to St(q). These three parameters change systematically with quench depth. Changes in the structure factor S(q,t) are only observed in the q values smaller than a critical scattering vector, qc. At small quench depths, qc is obtained because R(q)0 as qqc. At deeper quenches, qc is obtained because St(q)S0(q) as qqc. Scattering characteristics at q<qc such as scattering peaks or the lack thereof arise due to the interplay between R(q) and St(q)."
89	"Lesemann M"	0	"Industrial & Engineering Chemistry Research"	"2003"	"42 (25)"	"6425"	1	"NG7SANS"	"NOT CHRNS"	"Self-assembly at high pressures: SANS study of the effect of pressure on microstructure of C8E5 micelles in water"	"Nathan H"	"DiNoia TP"	"Kirby CF, McHugh MA, van Zanten JH, Paulaitis ME"	"Complex fluids"	"Self assembly under pressure"	"We present the results of a high-pressure small-angle neutron scattering study of the effect of pressure on surfactant microstructure. The study was carried out on a solution of 1 wt % C8E5 in D2O at 29.4 C and pressures up to 310 MPa. The C8E5 micelles that form under these conditions are noninteracting. We find that applying pressure leads to a pronounced decrease in the micelle radius of gyration and the forward scattering intensity over the pressure range from ambient to 150 MPa. The partial molecular volume of the surfactant and the extent of hydration of the surfactant head groups in the micelle were also determined using the method of solvent contrast variation. Both quantities decrease with the application of pressure up to 150 MPa. Core-shell model fits to the scattering spectra over the entire q-range indicate that the shell radius decreases, while the hydrophobic core radius increases slightly with pressure. The pressure dependence of the shell radius is notably similar to that observed for the radius of gyration. Collectively, these observations lead to the conclusion that the effect of pressure on C8E5 micellization is to induce the dehydration of surfactant head groups and the collapse of the hydrophilic micelle shell at pressures between ambient and 150 MPa."
90	"Lin EK"	0	"Proceedings of the SPIE - The International Society for Optical Engineering"	"2002"	"4689"	"541"	0	"NG7SANS and USANS"	"NOT CHRNS"	"Structural characterization of deep-submicron lithographic structures using small-angle neutron scattering"	"Jones RL"	"Wu W-L"	"et al."	"Polymers"	"Lithography"	"Journal not available online"
92	"Lin YN"	0	"Journal of Physical Chemistry B"	"2002"	"106 (42)"	"10845"	1	"NG3SANS"	"CHRNS"	"Self-assembly of an amphiphilic siloxane graft copolymer in water"	"Alexandridis P"			"Polymers"	"Graft copolymers"	"The micelle formation and micelle structure of an amphiphilic poly(dimethylsiloxane)-graft-polyether copolymer in aqueous solution were investigated with a variety of experimental techniques. We measured the CMC by three different methods-DPH solubilization, methyl orange hypsochromic shift, and pyrene fluorescence I1/I3 ratio. The microviscosity was evaluated from DPH anisotropy values that were obtained by fluorescence polarization measurements. The microviscosity in the siloxane copolymer micelles was found lower than that in Pluronic block copolyether micelles. The micelle size and structure were obtained from small-angle neutron scattering (SANS) using the hard sphere model. The micelle hydrodynamic radius and the micelle size distribution were monitored by dynamic light scattering (DLS). The degree of hydration was estimated from a combination of DLS and SANS results. The temperature effect on CMC was found to be small; however, a structural transition of micelles from spheres to ellipsoids was observed by SANS at elevated temperature (60 C)."
93	"Lin YN"	0	"Journal of Physical Chemistry B"	"2002"	"106 (47)"	"12124"	1	"NG3SANS"	"CHRNS"	"Small-angle neutron scattering characterization of micelles formed by poly(dimethylsiloxane)-graft-polyether copolymers in mixed polar solvents"	"Alexandridis P"			"Polymers"	"Graft copolymers"	"The self-assembled structure of an amphiphilic poly(dimethylsiloxane)-graft-polyether copolymer has been investigated in binary solvents consisting of water and one of the following polar organic solvents: 2-propanol, ethanol, formamide, or glycerol. Micelle structural parameters were obtained by fitting the core-corona form factor and hard-sphere interaction structure factor to small-angle neutron scattering (SANS) data obtained at contrast conditions where the solvents were fully deuterated and the copolymer was not. The siloxane copolymer forms in water at 20 C micelles that consist of a \"dry\" core with a radius of about 6 nm and a solvated (about 40% polymer) corona with a thickness of 2 nm; the relatively thin corona may be due to the comb-type architecture of the siloxane copolymer. The micelle radii, micelle core radii, micelle association numbers, and polymer volume fractions in the micelle core and corona decreased with increasing cosolvent/water ratio in the mixed solvents containing 2-propanol, ethanol, or formamide. On the contrary, the addition of glycerol led to an increase of the micelle association number. The above findings are discussed in terms of the relative location of the polar organic solvents in the interior or exterior of the siloxane copolymer micelles. In particular, the micelle association numbers observed for different water-cosolvent mixtures can be correlated to the octanol-water partition coefficients of the respective cosolvents. A transition from spherical to ellipsoid micelles was observed upon an increase in the temperature: this is attributed to the desolvation of the polyether chains. This structural transition correlates with the solvent quality in the mixed solvents: ethanol and 2-propanol, which solvate the interior of the micelles, tending to keep the micelles spherical, while increased glycerol content in the mixed solvent leads to the formation of ellipsoids at a fixed temperature."
94	"Lin YN"	0	"Journal of Physical Chemistry B"	"2002"	"106 (42)"	"10834"	1	"NG3SANS"	"CHRNS"	"Temperature-dependent adsorption of pluronic F127 block copolymers onto carbon black particles dispersed in aqueous media"	"Alexandridis P"			"Polymers"	"Pluronics"	"The adsorption properties of Pluronic F127 poly(ethylene oxide)-poly(propylene oxide)-poly(ethylene oxide) PEO-PPO-PEO block copolymer onto carbon black (CB) particles dispersed in water have been investigated. The CB particles have fractal structure according to small-angle neutron scattering (SANS) measurements. The Langmuir isotherm could describe the adsorption behavior of Pluronic F127 onto CB particles below the block copolymer critical micellization concentration (CMC). Temperature plays an important role in determining the thickness and structure of the adsorbed layer. Below the temperature where micelles start forming (CMT), the added Pluronic F127 block copolymer molecules contribute to an increase of the adsorbed layer thickness (determined by dynamic light scattering) by forming a monolayer. Above the CMT, SANS experiments, performed under contrast matching conditions where either the block copolymer or the CB particles were rendered \"invisible\", confirmed that the adsorbed layer had structure and dimensions similar to these of Pluronic F127 block copolymer micelles that form in aqueous solution in the absence of CB. One of the aims of this work is to provide information on how to control the adsorbed layer thickness and structure (and correspondingly, colloidal stability) by tuning variables such as temperature, block copolymer concentration, and/or solvent quality."
95	"Lin YN"	0	"Langmuir"	"2002"	"18 (16)"	"6147"	1	"NG3SANS"	"CHRNS"	"Adsorption of a rake-type siloxane surfactant onto carbon black nanoparticles dispersed in aqueous media"	"Smith TW"	"Alexandridis P"		"Complex fluids"	"Adsorption on carbon black"	"The adsorption properties of a rake-type siloxane surfactant (consisting of a poly(dimethylsiloxane) backbone with grafted polyether) on carbon black (CB) nanoparticles have been investigated. The CB particles have fractal structure according to transmission electron microscopy and small-angle neutron scattering (SANS) data. Surface compositions, determined by X-ray photoelectron spectroscopy, indicate that the CB surface is partly oxidized, prove the adsorption of the siloxane surfactant onto the CB particles, and suggest that the surface coverage is incomplete. The adsorption obeys the Langmuir isotherm at low filtrate concentrations (below the critical micelle concentration, cmc). At higher filtrate concentrations, a sharp increase in the adsorbed amount is observed. The adsorbed layer thickness was determined by viscometry and dynamic light scattering. These two methods give good agreement on the adsorbed layer thickness (~30 nm) at surfactant concentrations above the cmc. This thickness is comparable to the hydrodynamic radius of the siloxane micelles in water. SANS experiments, performed under contrast matching conditions where either the CB particles or the siloxane surfactant was rendered \"invisible\", confirm that the adsorbed layer has structure and dimensions similar to those of siloxane surfactant micelles in aqueous solution in the absence of CB."
96	"Lin-Gibson S"	1	"Journal of Chemical Physics"	"2003"	"119 (15)"	"8080"	1	"NG7SANS"	"NOT CHRNS"	"Shear-induced mesostructure in nanoplatelet-polymer networks"	"Schmidt G"	"Kim H"	"Han CC, Hobbie EK"	"Materials science"	"Clay dispersions under shear"	"The shear response of a model polymer–clay gel is measured using small-angle neutron and light scattering, optical microscopy, and rheometry. As the flow disrupts the transient network that forms between clay and polymer, coupling between composition and stress leads to the formation of a macroscopic domain pattern, while the clay platelets orient with their surface normal parallel to the direction of vorticity. We discuss similarities with shear-induced structural transitions observed in other Complex fluids, and we offer a physical explanation for the orientation of the clay platelets."
97	"Liu LM"	0	"Journal of Dispersion Science and Technology"	"2002"	"23 (1-3)"	"441"	0	"NG3SANS"	"CHRNS"	"Nanostructured materials synthesis in a mixed surfactant mesophase"	"Li SC"	"Simmons B"	"et al."	"Complex fluids"	"Mesophases"	"Journal not available online"
98	"Liu SY"	0	"Langmuir"	"2003"	"19 (26)"	"10732"	1	"NG7SANS"	"NOT CHRNS"	"Structural fixation of spontaneous vesicles in aqueous mixtures of polymerizable anionic and cationic surfactants"	"Gonzalez YI"	"Kaler EW"		"Complex fluids"	"Vesicle structure"	"Two polymerizable surfactants, cationic methacryloyloxyundecyl trimethylammonium bromide and anionic sodium 4-(-methacryloyloxyundecyl)oxy benzene sulfonate, have been synthesized. The microstructures formed by mixtures of these surfactants in aqueous solution include stable vesicles, the structure of which can be fixed by polymerization. Both native and polymerized vesicles are characterized using quasi-elastic and static light scattering, small-angle neutron scattering, and cryogenic transmission electron microscopy. Polymerization captures the bilayer structure without creating appreciable intervesicle cross-linking."
100	"Mackay ME"	0	"Macromolecules"	"2002"	"35 (22)"	"8391"	1	"NG3SANS"	"CHRNS"	"Microphase separation of hybrid dendron-linear diblock copolymers into ordered structures"	"Hong Y"	"Jeong M"	"Tande BM, Wagner NJ, Hong S, Gido SP, Vestberg R, Hawker CJ"	"Polymers"	"Branched polymers"	"Hybrid copolymers with dendritic-linear blocks are shown to exhibit many of the classic microphase-separated structures of linear-linear block copolymers. Transmission electron microscopy (TEM), small-angle X-ray scattering (SAXS), and small-angle neutron scattering (SANS) were used to evaluate the morphology of a sixth generation (G6) poly(benzyl ether) dendron covalently bonded to linear polystyrene (PS) at the dendron focal point. Increasing the fraction of the linear block, PS, through an increase in the molecular weight of the PS block revealed morphologies evolving from disordered to ordered lamellar to hexagonally close-packed dendron cylinders. Significantly, the observed morphologies are distinct from those expected for analogous linear-linear blocks at equivalent volume fraction, although the direction of progression follows expectation. Quantitative analysis suggests substantial molecular deformation or shape change in the dendritic phase. The possible role of conformational entropy in determining the overall free energy is suggested to be important for this class of block copolymer."
101	"Malwitz MM"	1	"Journal of Polymer Science B"	"2003"	"41 (24)"	"3237"	1	"NG7SANS"	"NOT CHRNS"	"Orientation of platelets in multilayered nanocomposite polymer films"	"Lin-Gibson S"	"Hobbie EK"	"Butler PD, Schmidt G"	"Polymers"	"Nanocomposites"	"The orientation of platelets in micro-meter-thick polymer-clay nanocomposite films was investigated with small-angle neutron scattering (SANS), small-angle X-ray scattering (SAXS), and wide-angle X-ray diffraction (WAXD). The films with various clay contents (15-60% by mass fraction) were prepared by a layer-by-layer approach from polymer-clay solutions that led to the formation of a high degree of orientation in both polymer and clay platelets. Shear-induced orientation of polymer-clay solutions is compared with the orientation of polymer-clay films. SANS, SAXS, and WAXD, with beam configurations in and perpendicular to the spread direction of the film, were used to determine the structure and orientation of platelets. In all films, the clay platelets oriented preferentially in the plane of the film. The observed differences in semidilute solutions, with clay surface normal parallel to the vorticity direction, versus bulk films and with clay surface normal parallel to the shear gradient direction at clay mass fractions of 40 and 60%, were attributed to the collapses of clay platelet during the drying process."
102	"Maranzano BJ"	0	"Journal of Chemical Physics"	"2002"	"117 (22)"	"10291"	1	"NG3SANS"	"CHRNS"	"Flow-small angle neutron scattering measurements of colloidal dispersion microstructure evolution through the shear thickening transition"	"Wagner NJ"			"Complex fluids"	"Shear effect"	"The shear induced microstructure for electrostatic and Brownian suspensions are compared using in situ small angle neutron scattering (SANS). The dispersions consist of 75 nm Stöber silica coated with 3-(trimethoxysilyl) propyl methacrylate (TPM) and have a zeta potential of –42.6±4.7 mV. Neutralizing the surface charge with 0.066 nitric acid yields stable hard-sphere dispersions. SANS is conducted over a range of shear rates on the charge-stabilized and Brownian suspensions to test the order–disorder transition and hydrocluster mechanisms for shear thickening, and demonstrate the influence of stabilizing forces on the shear induced microstructure evolution. Through treatment of the colloidal micromechanics, shear induced changes in the microstructure are correlated to the hydrodynamic component of the shear stress and the thermodynamic component of the normal stress, i.e., the method of \"Rheo-SANS\" is developed. The results demonstrate that hydrocluster formation accompanies the shear thickening transition."
103	"Marshall JC"	0	"Langmuir"	"2002"	"18 (25)"	"9668"	1	"NG3SANS"	"CHRNS"	"Small-angle neutron scattering of gelatin/sodium dodecyl sulfate complexes at the polystyrene/water interface"	"Cosgrove T"	"Jack K"	"Howe A"	"Complex fluid"	"Complexes interface"	"Using isotopic substitution, the small-angle neutron scattering from a gelatin layer preadsorbed upon polystyrene latex has been measured as a function of the added concentration of sodium dodecyl sulfate (SDS). The data have been fitted using a model which includes an exponential volume fraction profile and a term to account for the scattering from spatial concentration fluctuations. Measurements indicate that the gelatin layer thickness increases to a maximum as a function of SDS concentration, while the volume fraction of gelatin adsorbed at the interface simultaneously decreases. Consequently, the adsorbed amount of gelatin peaks at SDS concentrations equivalent to approximately one SDS micelle/gelatin chain. Further addition of SDS sees the adsorbed amount decay below that of the system in the absence of SDS. At the highest SDS concentrations, the gelatin also develops a scattering form similar to that of SDS micelles."
